title,	published,	url,	instructor,	yt_url,	yt_title
Beautiful and Accessible Drag and Drop with react-beautiful-dnd, 2018-07-27T12:17:32.885-05:00, https://egghead.io/series/beautiful-and-accessible-drag-and-drop-with-react-beautiful-dnd, Alex Reardon,https://www.youtube.com/watch?v=e56W2T51Wg0, Beautiful and Accessible Drag and Drop with react-beautiful-dnd
Design Systems with React and Typescript in Storybook, 2018-09-17T15:45:12.557-05:00, https://egghead.io/series/design-systems-with-react-and-typescript-in-storybook, Shawn Wang,https://www.youtube.com/watch?v=9E2whGe9eqA, Design Systems with React and Typescript in Storybook
Execute npm Package Binaries with the npx Package Runner, 2018-11-08T09:41:12.946-06:00, https://egghead.io/series/execute-npm-package-binaries-with-the-npx-package-runner, Elijah Manor,https://www.youtube.com/watch?v=VTJrGy-XgAg, Execute npm Package Binaries with the npx Package Runner
Using WebAssembly with Rust, 2018-10-15T12:24:19.049-05:00, https://egghead.io/series/using-webassembly-with-rust, Nik Graf,https://www.youtube.com/watch?v=kaCMNAPM_sk, Using WebAssembly with Rust
Data Structures and Algorithms in JavaScript, 2018-12-03T21:35:41.689-06:00, https://egghead.io/series/data-structures-and-algorithms-in-javascript, Kyle Shevlin,https://www.youtube.com/watch?v=xaHqIyG0r-8, Data Structures and Algorithms in JavaScript
Reusable State and Effects with React Hooks, 2018-12-09T22:02:28.480-06:00, https://egghead.io/series/reusable-state-and-effects-with-react-hooks, Elijah Manor,https://www.youtube.com/watch?v=fwHQEc7B7kU, React Hooks and Suspense
Reactive State Management in Angular with ngrx, 2018-12-03T21:48:36.548-06:00, https://egghead.io/series/reactive-state-management-in-angular-with-ngrx, Lukas Ruebbelke,https://www.youtube.com/watch?v=W4MTSbjSRUM, Reactive State Management in Angular with ngrx
Scalable Offline-Ready GraphQL Applications with AWS AppSync & React, 2018-11-26T15:40:07.002-06:00, https://egghead.io/series/scalable-offline-ready-graphql-applications-with-aws-appsync-react, nader dabit,https://www.youtube.com/watch?v=e9ybM5hpIoo, Scalable Offline-Ready GraphQL Applications with AWS AppSync & React
Simplify React Apps with React Hooks, 2018-12-02T19:25:17.140-06:00, https://egghead.io/series/simplify-react-apps-with-react-hooks, Kent C. Dodds,https://www.youtube.com/watch?v=c4tJhniEoDk, Simplify React Apps with React Hooks and Suspense
CSS Selectors in Depth, 2018-11-29T22:18:57.492-06:00, https://egghead.io/series/css-selectors-in-depth, Garth Braithwaite,https://www.youtube.com/watch?v=WmVdXAENtQY, CSS Selectors in Depth
Build a Blog with React and Markdown using Gatsby, 2017-12-05T23:33:29.659-06:00, https://egghead.io/series/build-a-blog-with-react-and-markdown-using-gatsby, Taylor Bell,https://www.youtube.com/watch?v=MFxbpvYbW8A, Build a Blog with React and Markdown using Gatsby
